DB6,X59.1;Status_FuoriTolleranzaBox3
DB6,X59.2;Status_FuoriTolleranzaBox4
DB505,X144.4;PROD_SNAP_01
DB505,X144.5;PROD_SNAP_02
DB505,X144.6;PROD_SNAP_03
DB505,X144.7;PROD_SNAP_04
DB505,REAL146;DataAux_kgCicloBox1
DB505,REAL150;DataAux_kgCicloBox2
DB505,REAL154;DataAux_kgCicloBox3
DB505,REAL158;DataAux_kgCicloBox4
DB515,REAL124;KgTotProduzione
